feature_index,feature_name,component,feature_type,importance
711,cyy_101,101,diagonal,0.00043920736
3354,cxx_479,479,diagonal,0.00043677416
1890,w_270,270,weight,0.00043316715
548,cxy_78,78,off_diagonal,0.00043274596
2667,w_381,381,weight,0.00043230155
2624,czz_374,374,diagonal,0.0004319144
882,w_126,126,weight,0.0004290908
1554,w_222,222,weight,0.00042767837
1888,cyz_269,269,off_diagonal,0.00042531363
2051,w_293,293,weight,0.00042511802
2863,w_409,409,weight,0.00042505405
2786,w_398,398,weight,0.00042252606
2674,w_382,382,weight,0.00042094136
3248,w_464,464,weight,0.00042005177
2617,czz_373,373,diagonal,0.00041777187
1694,w_242,242,weight,0.00041294482
2980,cyz_425,425,off_diagonal,0.000412329
1700,czz_242,242,diagonal,0.00041230826
1002,cxx_143,143,diagonal,0.00041089568
585,cyy_83,83,diagonal,0.00040905733
1741,cyz_248,248,off_diagonal,0.00040848937
2933,w_419,419,weight,0.00040847517
1634,cxz_233,233,off_diagonal,0.00040668782
952,w_136,136,weight,0.00040648712
1106,w_158,158,weight,0.0004050786
1889,czz_269,269,diagonal,0.00040158228
1813,w_259,259,weight,0.00039808758
601,czz_85,85,diagonal,0.00039602336
740,cyz_105,105,off_diagonal,0.00039471706
1326,cxz_189,189,off_diagonal,0.0003934592
1432,cyy_204,204,diagonal,0.0003930262
2193,cxy_313,313,off_diagonal,0.000391199
2296,w_328,328,weight,0.0003910352
912,cxy_130,130,off_diagonal,0.00039004986
49,w_7,7,weight,0.00038997535
1232,w_176,176,weight,0.00038986275
3232,cyz_461,461,off_diagonal,0.00038949345
2856,w_408,408,weight,0.00038705696
292,cyz_41,41,off_diagonal,0.00038477711
64,cxx_9,9,diagonal,0.0003809449
85,cxx_12,12,diagonal,0.000378905
2600,cxz_371,371,off_diagonal,0.00037879232
791,w_113,113,weight,0.0003787871
1403,cxz_200,200,off_diagonal,0.00037771754
532,w_76,76,weight,0.00037770538
938,w_134,134,weight,0.00037753134
1006,cyz_143,143,off_diagonal,0.00037713718
3356,cxz_479,479,off_diagonal,0.00037304577
1730,cxx_247,247,diagonal,0.00037232554
93,cxy_13,13,off_diagonal,0.00037226765
211,cxx_30,30,diagonal,0.000369133
1606,cxz_229,229,off_diagonal,0.00036904382
190,cxx_27,27,diagonal,0.0003689491
1402,cxy_200,200,off_diagonal,0.00036766301
434,w_62,62,weight,0.00036668408
3013,cxz_430,430,off_diagonal,0.00036619668
236,cyz_33,33,off_diagonal,0.00036527647
658,w_94,94,weight,0.00036292922
2540,czz_362,362,diagonal,0.00036174702
2656,cxz_379,379,off_diagonal,0.000361277
2060,cxy_294,294,off_diagonal,0.00035957404
406,w_58,58,weight,0.00035880174
1110,cyy_158,158,diagonal,0.0003584264
1529,cxz_218,218,off_diagonal,0.00035524674
731,cxz_104,104,off_diagonal,0.00035479595
1101,cxy_157,157,off_diagonal,0.00035438853
3075,cxy_439,439,off_diagonal,0.00035254942
439,cyz_62,62,off_diagonal,0.00035111204
1908,cyy_272,272,diagonal,0.00035101816
3135,czz_447,447,diagonal,0.00034827535
1778,w_254,254,weight,0.00034671157
2548,w_364,364,weight,0.00034567827
1835,cxx_262,262,diagonal,0.0003431777
2277,cxy_325,325,off_diagonal,0.0003418858
665,w_95,95,weight,0.00034064174
2234,cxx_319,319,diagonal,0.00034056883
3224,cyy_460,460,diagonal,0.00033855037
639,cxy_91,91,off_diagonal,0.00033738138
1434,czz_204,204,diagonal,0.00033352882
1347,cxz_192,192,off_diagonal,0.00033162034
1348,cyy_192,192,diagonal,0.00033079775
815,cxz_116,116,off_diagonal,0.000329253
2001,czz_285,285,diagonal,0.00032736256
296,cxy_42,42,off_diagonal,0.00032657696
2175,cyz_310,310,off_diagonal,0.00032482704
3021,cyy_431,431,diagonal,0.00032391804
2779,w_397,397,weight,0.0003231199
781,cyy_111,111,diagonal,0.00032076266
2757,czz_393,393,diagonal,0.000320572
3162,cyz_451,451,off_diagonal,0.00031992435
3088,cxx_441,441,diagonal,0.00031959606
2495,cxz_356,356,off_diagonal,0.00031644647
2909,cyy_415,415,diagonal,0.0003146909
1339,cxy_191,191,off_diagonal,0.00031463365
2109,cxy_301,301,off_diagonal,0.00031386947
348,cyz_49,49,off_diagonal,0.00031245564
3196,cyy_456,456,diagonal,0.00031241743
1137,cxz_162,162,off_diagonal,0.00031165645
2592,cxy_370,370,off_diagonal,0.00031158983
1930,cyz_275,275,off_diagonal,0.00031112164
2245,cyz_320,320,off_diagonal,0.0003101115
3390,cxy_484,484,off_diagonal,0.00030982116
321,czz_45,45,diagonal,0.00030826742
3183,cyz_454,454,off_diagonal,0.0003082055
1468,cyz_209,209,off_diagonal,0.00030793808
2476,cyz_353,353,off_diagonal,0.00030732073
165,cyy_23,23,diagonal,0.00030283994
3458,w_494,494,weight,0.00030262492
1443,cxx_206,206,diagonal,0.000300991
1840,czz_262,262,diagonal,0.00030046192
2030,w_290,290,weight,0.00029960094
878,cxz_125,125,off_diagonal,0.0002995655
1663,cyy_237,237,diagonal,0.00029914448
428,cxx_61,61,diagonal,0.00029838644
1401,cxx_200,200,diagonal,0.00029701396
446,cyz_63,63,off_diagonal,0.00029404034
1743,w_249,249,weight,0.00029313954
147,w_21,21,weight,0.00029193313
923,czz_131,131,diagonal,0.0002910905
3213,w_459,459,weight,0.00029030602
483,w_69,69,weight,0.00028856169
619,cxz_88,88,off_diagonal,0.00028738528
2756,cyz_393,393,off_diagonal,0.00028624744
2324,w_332,332,weight,0.00028578704
2422,w_346,346,weight,0.00028287715
909,czz_129,129,diagonal,0.00028283198
808,cxz_115,115,off_diagonal,0.00028041704
3346,w_478,478,weight,0.00028028185
2648,cxy_378,378,off_diagonal,0.00027961138
1575,w_225,225,weight,0.00027958516
668,cxz_95,95,off_diagonal,0.00027859298
2205,w_315,315,weight,0.00027764981
3253,cyz_464,464,off_diagonal,0.00027684413
567,w_81,81,weight,0.00027554293
530,cyz_75,75,off_diagonal,0.00027465372
848,cxx_121,121,diagonal,0.0002745023
327,cyz_46,46,off_diagonal,0.00027430188
1734,cyz_247,247,off_diagonal,0.00027345028
1602,czz_228,228,diagonal,0.0002710762
3015,cyz_430,430,off_diagonal,0.00027046754
1147,czz_163,163,diagonal,0.00026991926
1670,cyy_238,238,diagonal,0.00026991553
2646,w_378,378,weight,0.00026949772
187,cyz_26,26,off_diagonal,0.00026800626
1827,w_261,261,weight,0.00026759875
3449,cyz_492,492,off_diagonal,0.0002672176
2360,cxx_337,337,diagonal,0.0002664974
606,cyy_86,86,diagonal,0.00026549026
1282,cxx_183,183,diagonal,0.0002653763
3104,cxz_443,443,off_diagonal,0.00026509722
1285,cyy_183,183,diagonal,0.00026457658
2254,w_322,322,weight,0.0002621786
1580,cyz_225,225,off_diagonal,0.0002610349
3190,cyz_455,455,off_diagonal,0.00025931842
295,cxx_42,42,diagonal,0.0002576918
3037,czz_433,433,diagonal,0.00025763395
2631,czz_375,375,diagonal,0.00025527665
1085,w_155,155,weight,0.00025489644
2918,czz_416,416,diagonal,0.00025439303
467,cyz_66,66,off_diagonal,0.0002540682
1712,cyy_244,244,diagonal,0.00025357268
87,cxz_12,12,off_diagonal,0.0002534654
2111,cyy_301,301,diagonal,0.00025325542
1496,cyz_213,213,off_diagonal,0.00025256356
2142,w_306,306,weight,0.0002520045
630,w_90,90,weight,0.000251698
809,cyy_115,115,diagonal,0.00025122013
2487,cxy_355,355,off_diagonal,0.00025079946
1521,cxy_217,217,off_diagonal,0.00025048436
2278,cxz_325,325,off_diagonal,0.0002471229
2697,cxy_385,385,off_diagonal,0.0002464526
2163,w_309,309,weight,0.00024614827
3255,w_465,465,weight,0.00024596666
37,cxy_5,5,off_diagonal,0.0002444292
3201,cxy_457,457,off_diagonal,0.00024372264
429,cxy_61,61,off_diagonal,0.00024270632
55,czz_7,7,diagonal,0.0002415455
1597,cxx_228,228,diagonal,0.00024048236
1620,cxz_231,231,off_diagonal,0.00024025343
1651,czz_235,235,diagonal,0.00023938414
895,czz_127,127,diagonal,0.0002387126
437,cxz_62,62,off_diagonal,0.00023812287
54,cyz_7,7,off_diagonal,0.00023701775
1292,cyy_184,184,diagonal,0.0002369307
736,cxx_105,105,diagonal,0.00023597133
2728,cyz_389,389,off_diagonal,0.0002356626
557,cyy_79,79,diagonal,0.00023499524
2709,w_387,387,weight,0.00023466744
2310,w_330,330,weight,0.00023419656
1104,cyz_157,157,off_diagonal,0.00023410791
1128,cxx_161,161,diagonal,0.00023359292
2891,w_413,413,weight,0.00023337406
132,czz_18,18,diagonal,0.00023236116
3222,cxy_460,460,off_diagonal,0.00023195024
3122,w_446,446,weight,0.00023066487
1695,cxx_242,242,diagonal,0.00023042607
1759,cxy_251,251,off_diagonal,0.00022972477
1895,cyz_270,270,off_diagonal,0.00022965198
1562,cxx_223,223,diagonal,0.00022943095
1751,cxx_250,250,diagonal,0.00022907942
1470,w_210,210,weight,0.00022903102
