feature_index,feature_name,component,feature_type,coefficient,abs_coefficient,nonzero
2008,czz_286,286,diagonal,-0.0,0.0,False
2083,cyy_297,297,diagonal,-0.0,0.0,False
2007,cyz_286,286,off_diagonal,0.0,0.0,False
1986,cyz_283,283,off_diagonal,-0.0,0.0,False
1987,czz_283,283,diagonal,0.0,0.0,False
1988,w_284,284,weight,-0.0,0.0,False
1989,cxx_284,284,diagonal,-0.0,0.0,False
1991,cxz_284,284,off_diagonal,0.0,0.0,False
1992,cyy_284,284,diagonal,-0.0,0.0,False
1993,cyz_284,284,off_diagonal,0.0,0.0,False
1994,czz_284,284,diagonal,-0.0,0.0,False
1995,w_285,285,weight,-0.0,0.0,False
1997,cxy_285,285,off_diagonal,0.0,0.0,False
1998,cxz_285,285,off_diagonal,-0.0,0.0,False
2000,cyz_285,285,off_diagonal,0.0,0.0,False
2002,w_286,286,weight,0.0,0.0,False
2003,cxx_286,286,diagonal,0.0,0.0,False
2004,cxy_286,286,off_diagonal,0.0,0.0,False
2005,cxz_286,286,off_diagonal,-0.0,0.0,False
2006,cyy_286,286,diagonal,0.0,0.0,False
2030,w_290,290,weight,-0.0,0.0,False
2032,cxy_290,290,off_diagonal,-0.0,0.0,False
2033,cxz_290,290,off_diagonal,0.0,0.0,False
2034,cyy_290,290,diagonal,-0.0,0.0,False
2066,cxx_295,295,diagonal,-0.0,0.0,False
2067,cxy_295,295,off_diagonal,-0.0,0.0,False
2068,cxz_295,295,off_diagonal,0.0,0.0,False
2069,cyy_295,295,diagonal,0.0,0.0,False
2070,cyz_295,295,off_diagonal,-0.0,0.0,False
2071,czz_295,295,diagonal,0.0,0.0,False
2072,w_296,296,weight,0.0,0.0,False
2073,cxx_296,296,diagonal,-0.0,0.0,False
2074,cxy_296,296,off_diagonal,-0.0,0.0,False
2075,cxz_296,296,off_diagonal,0.0,0.0,False
2076,cyy_296,296,diagonal,0.0,0.0,False
2077,cyz_296,296,off_diagonal,-0.0,0.0,False
2078,czz_296,296,diagonal,0.0,0.0,False
2079,w_297,297,weight,0.0,0.0,False
2080,cxx_297,297,diagonal,-0.0,0.0,False
2081,cxy_297,297,off_diagonal,-0.0,0.0,False
2082,cxz_297,297,off_diagonal,0.0,0.0,False
2065,w_295,295,weight,0.0,0.0,False
2064,czz_294,294,diagonal,0.0,0.0,False
2063,cyz_294,294,off_diagonal,-0.0,0.0,False
2048,cyy_292,292,diagonal,0.0,0.0,False
2036,czz_290,290,diagonal,0.0,0.0,False
2038,cxx_291,291,diagonal,0.0,0.0,False
2039,cxy_291,291,off_diagonal,-0.0,0.0,False
2042,cyz_291,291,off_diagonal,0.0,0.0,False
2043,czz_291,291,diagonal,0.0,0.0,False
2045,cxx_292,292,diagonal,0.0,0.0,False
2047,cxz_292,292,off_diagonal,0.0,0.0,False
2049,cyz_292,292,off_diagonal,0.0,0.0,False
2062,cyy_294,294,diagonal,0.0,0.0,False
2053,cxy_293,293,off_diagonal,-0.0,0.0,False
2054,cxz_293,293,off_diagonal,0.0,0.0,False
2055,cyy_293,293,diagonal,-0.0,0.0,False
2056,cyz_293,293,off_diagonal,0.0,0.0,False
2057,czz_293,293,diagonal,0.0,0.0,False
2060,cxy_294,294,off_diagonal,0.0,0.0,False
2061,cxz_294,294,off_diagonal,-0.0,0.0,False
2185,cxx_312,312,diagonal,0.0,0.0,False
2187,cxz_312,312,off_diagonal,-0.0,0.0,False
2395,cxx_342,342,diagonal,0.0,0.0,False
2319,cxy_331,331,off_diagonal,-0.0,0.0,False
2321,cyy_331,331,diagonal,0.0,0.0,False
2322,cyz_331,331,off_diagonal,-0.0,0.0,False
2323,czz_331,331,diagonal,0.0,0.0,False
2325,cxx_332,332,diagonal,-0.0,0.0,False
2326,cxy_332,332,off_diagonal,-0.0,0.0,False
2327,cxz_332,332,off_diagonal,-0.0,0.0,False
2328,cyy_332,332,diagonal,0.0,0.0,False
2329,cyz_332,332,off_diagonal,0.0,0.0,False
2330,czz_332,332,diagonal,0.0,0.0,False
2332,cxx_333,333,diagonal,0.0,0.0,False
2334,cxz_333,333,off_diagonal,0.0,0.0,False
2335,cyy_333,333,diagonal,0.0,0.0,False
2336,cyz_333,333,off_diagonal,-0.0,0.0,False
2337,czz_333,333,diagonal,-0.0,0.0,False
2338,w_334,334,weight,-0.0,0.0,False
2339,cxx_334,334,diagonal,0.0,0.0,False
2340,cxy_334,334,off_diagonal,-0.0,0.0,False
2320,cxz_331,331,off_diagonal,0.0,0.0,False
2316,czz_330,330,diagonal,0.0,0.0,False
2295,czz_327,327,diagonal,0.0,0.0,False
